,time,open,high,low,close,volume,MA50,MA200,sup,Buy_signal,Sell_signal
710,2015-11-13,25470,25470,24830,25180,1123490,26787.4,34001.53,26899.02738,0,0
711,2015-11-16,25060,25120,24770,24890,518020,26767.8,33899.03,26619.88062,0,0
712,2015-11-17,25180,25470,25120,25120,432350,26746,33800.43,26619.88062,0,0
713,2015-11-18,24950,25120,24890,25010,173530,26715.2,33702.68,26547.15719,0,0
714,2015-11-19,25010,25290,24890,25010,397150,26691.2,33607.78,26547.15719,0,0
715,2015-11-20,25010,25180,24950,25060,311440,26667,33515.93,26443.52365,0,0
716,2015-11-23,25060,25120,24890,24950,256650,26651.8,33424.88,26285.16313,0,0
717,2015-11-24,25060,25240,24770,24890,219010,26632.2,33334.98,26285.16313,0,0
718,2015-11-25,25060,25240,24950,25120,159630,26613.8,33246.23,26285.16313,0,0
719,2015-11-26,25240,25240,25010,25120,122820,26567.2,33151.88,26285.16313,0,0
720,2015-11-27,25060,25060,24770,24770,240340,26520.4,33055.78,26077.5412,0,0
721,2015-11-30,24550,24550,23730,23790,495020,26456.2,32951.93,25582.17817,0,0
722,2015-12-01,23910,24130,23670,23670,283310,26393,32848.93,25333.29557,0,0
723,2015-12-02,23670,23850,23570,23670,543410,26323,32747.33,25058.53906,0,0
724,2015-12-03,23570,23570,23100,23270,498940,26251.8,32645.13,24735.17634,0,0
725,2015-12-04,23270,23570,23220,23270,508280,26180.6,32540.13,24735.17634,0,0
726,2015-12-07,23100,23160,22750,22750,698260,26112.4,32432.53,24335.12956,0,0
727,2015-12-08,22470,22700,21950,22700,778870,26050,32323.23,23850.82533,0,0
728,2015-12-09,22700,22700,22350,22350,269380,25979.6,32215.03,23850.82533,0,0
729,2015-12-10,22230,22350,22010,22010,393400,25892,32105.13,23575.30024,0,0
730,2015-12-11,22010,22290,21880,22170,360100,25810,31994.63,23456.68592,0,0
731,2015-12-14,21880,21950,21420,21590,660590,25712.8,31882.63,23182.15936,0,0
732,2015-12-15,21880,22230,21820,22010,408030,25618.2,31774.13,23182.15936,0,0
733,2015-12-16,22230,22350,22120,22170,260170,25513,31662.18,23182.15936,0,0
734,2015-12-17,21950,22170,21880,21880,352990,25400.8,31546.03,23182.15936,0,0
735,2015-12-18,21880,21950,21660,21720,225030,25277.4,31431.83,23123.72909,0,0
736,2015-12-21,21720,21770,21130,21190,667530,25141,31319.23,22854.62493,0,0
737,2015-12-22,21190,21480,21190,21320,364390,25018.8,31205.88,22663.24994,0,0
738,2015-12-23,21320,21480,21250,21370,197930,24903.4,31095.58,22602.07138,0,0
739,2015-12-24,21820,22120,21590,21590,499280,24788.8,30986.38,22602.07138,0,0
740,2015-12-25,21720,21880,21590,21660,263940,24674.6,30880.33,22602.07138,0,0
741,2015-12-28,21770,21770,21250,21250,238010,24554.4,30772.23,22602.07138,0,0
742,2015-12-29,21130,21370,20790,21080,279070,24434.2,30661.83,22481.05977,0,0
743,2015-12-30,21080,21370,20900,21080,167250,24316.4,30554.28,22481.05977,0,0
744,2015-12-31,21130,21130,20900,20900,162060,24195,30447.23,22315.57452,0,0
745,2016-01-04,21320,21370,20900,20900,182580,24069,30340.18,22315.57452,0,0
746,2016-01-05,20900,21080,20790,20850,233890,23945.6,30231.48,22187.46292,0,0
747,2016-01-06,20850,21020,20850,20960,105380,23831.4,30126.13,22081.39678,0,0
748,2016-01-07,20790,20790,19920,19920,759190,23695,30029.58,21783.3401,0,0
749,2016-01-08,19970,20270,19870,20210,332300,23559.8,29942.88,21465.72009,0,0
750,2016-01-11,20210,20390,20100,20210,324170,23423.6,29860.38,21465.72009,0,0
751,2016-01-12,19700,20100,19700,20040,337230,23285,29781.23,21250.52904,0,0
752,2016-01-13,20040,20620,20040,20210,473070,23149.8,29697.33,21250.52904,0,0
753,2016-01-14,20210,20210,19810,19870,435400,22998.6,29622.98,21250.52904,0,0
754,2016-01-15,19970,20160,19810,19810,214240,22840.4,29545.48,21250.52904,0,0
755,2016-01-18,19570,19570,18420,18420,1238200,22660.2,29458.23,20730.74995,0,0
756,2016-01-19,18480,18770,18360,18420,514120,22485.8,29375.23,20228.49996,0,0
757,2016-01-20,18420,18420,17720,17720,873730,22308.8,29288.73,19795.85711,0,0
758,2016-01-21,17380,17720,17210,17320,1009530,22126.2,29200.23,19162.87752,0,0
759,2016-01-22,17560,18540,17430,18480,1189260,21978.4,29118.93,19162.87752,0,0
760,2016-01-25,19520,19750,19520,19750,753540,21869.8,29043.98,17395.1308,1,0
761,2016-01-26,19630,21080,19060,20500,1059720,21782,28969.93,17395.1308,0,0
762,2016-01-27,21080,21480,20900,21080,967500,21701.2,28895.98,18382.341,0,0
763,2016-01-28,21370,21720,20960,21190,1009030,21624.8,28812.78,18607.72085,0,0
764,2016-01-29,21660,22640,21420,22640,1288510,21577.4,28736.83,19066.61787,0,0
765,2016-02-01,22750,22810,21660,21660,1125880,21509.4,28658.78,19202.10104,0,0
766,2016-02-02,20850,21250,20500,20790,766710,21426.2,28579.18,19202.10104,0,0
767,2016-02-03,20160,22060,19970,22060,869550,21369.6,28507.38,19202.10104,0,0
768,2016-02-04,22580,22580,21770,21950,357750,21306.2,28435.03,19202.10104,0,0
769,2016-02-05,21950,21950,21660,21950,193980,21242.8,28364.03,19202.10104,0,0
770,2016-02-15,21720,22230,21660,22060,799110,21188.6,28289.38,19202.10104,0,0
771,2016-02-16,22120,23100,22120,23100,1364980,21174.8,28219.93,19728.72745,0,0
772,2016-02-17,22980,23040,22520,22750,765590,21156.4,28158.58,20061.76639,0,0
773,2016-02-18,23390,24260,23330,24080,1427340,21164.6,28102.43,20817.94262,0,0
774,2016-02-19,23570,24830,23570,24550,1219680,21190.2,28045.83,21108.23653,0,0
775,2016-02-22,24420,25010,24420,24770,691380,21220.2,27991.73,21812.05988,0,0
776,2016-02-23,24950,25980,24950,25010,1480380,21265.4,27938.83,22458.19418,0,0
777,2016-02-24,24890,25060,24260,24720,1509510,21305.8,27885.88,22458.19418,0,0
778,2016-02-25,25290,25290,24130,24130,686070,21341.4,27832.83,22458.19418,0,0
779,2016-02-26,24550,24770,24260,24550,787790,21392.2,27781.88,22458.19418,0,0
780,2016-02-29,24720,25010,24600,24660,612850,21442,27731.48,22458.19418,0,0
781,2016-03-01,24890,25520,24660,25180,909320,21513.8,27686.43,22461.65574,0,0
782,2016-03-02,25410,25700,25290,25470,779100,21583,27651.235,23019.27635,0,0
